origin,dest,count,connection
6,7,892.2681412,weak
6,7,1243.402431,weak
6,7,1181.891409,weak
6,7,1199.487739,weak
6,7,809.6478395,weak
6,7,1035.675515,weak
6,7,1016.958215,weak
6,7,993.2098196,weak
6,7,810.54363,weak
6,7,1134.42667,weak
6,7,1355.871563,weak
6,7,810.6653572,weak
6,7,1095.080723,weak
6,7,803.277632,weak
6,7,1449.846515,weak
6,7,978.4412834,weak
6,7,861.2080533,weak
6,7,1514.129784,weak
6,7,963.8319281,weak
6,7,809.4672348,weak
6,7,1211.577573,weak
6,7,1333.344289,weak
6,7,1075.914923,weak
6,7,1326.27462,weak
6,7,1238.318939,weak
6,7,1522.58396,weak
6,7,1414.156297,weak
6,7,1021.550151,weak
6,7,1552.279313,weak
6,7,1581.537014,weak
6,7,1239.353755,weak
6,7,1031.660335,weak
6,7,1486.975501,weak
6,7,820.8406923,weak
6,7,1500.879246,weak
7,8,993.362774,weak
7,8,1350.808542,weak
7,8,1138.154016,weak
7,8,1155.698373,weak
7,8,493.2814177,strong
7,8,1245.333118,weak
7,8,1255.880946,weak
7,8,1394.320411,weak
7,8,1480.17636,weak
7,8,1500.88663,weak
7,8,1416.36106,weak
7,8,1079.562058,weak
7,8,1598.44937,weak
7,8,1465.794254,weak
7,8,1394.721412,weak
7,8,1056.252498,weak
7,8,1018.94951,weak
7,8,1071.156025,weak
7,8,1183.079687,weak
7,8,1145.499635,weak
7,8,856.5377352,weak
7,8,1094.44308,weak
7,8,1198.228886,weak
7,8,1287.245463,weak
7,8,1217.363644,weak
7,8,1254.742655,weak
7,8,1156.974487,weak
7,8,1585.186881,weak
7,8,1676.693824,weak
7,8,1422.274466,weak
7,8,1376.330186,weak
7,8,991.9584399,weak
7,8,1346.523523,weak
7,8,1182.519219,weak
7,8,1079.737609,weak
7,8,1185.453349,weak
7,8,1079.347862,weak
7,8,1031.828542,weak
7,8,1137.740661,weak
7,8,199.7383105,strong
7,8,1019.333587,weak
7,8,68.08629416,strong
7,8,265.5111592,strong
7,8,1146.289397,weak
7,8,813.4797421,weak
7,8,502.7808599,strong
7,8,425.9836312,strong
7,8,401.1427935,strong
7,8,433.8885476,strong
7,8,429.7937361,strong
7,8,816.2716907,weak
7,8,456.4259272,strong
7,8,445.3981664,strong
7,8,277.5048552,strong
7,8,630.0793742,strong
7,8,504.3354397,strong
7,8,441.0908409,strong
7,8,996.7796143,weak
7,8,1066.269022,weak
7,8,1058.473028,weak
7,8,341.4164578,strong
7,8,1045.996533,weak
7,8,672.5197894,strong
7,8,710.9082404,strong
7,8,664.4362835,strong
7,8,842.0300158,weak
7,8,1000.898562,weak
7,8,646.7504789,strong
7,8,696.0461976,strong
7,8,671.4174986,strong
7,8,829.7409878,weak
7,8,718.9548894,strong
7,8,662.9288455,strong
7,8,796.5813771,strong
7,8,702.8808643,strong
7,8,936.8834198,weak
7,8,991.5147488,weak
7,8,1167.401908,weak
7,8,919.7753957,weak
7,8,867.3251092,weak
7,8,1065.795442,weak
7,8,989.0891809,weak
7,8,1094.164978,weak
7,8,916.5167053,weak
7,8,943.8884766,weak
7,8,1051.836856,weak
7,8,929.6613764,weak
7,8,1104.969344,weak
7,8,991.8448224,weak
7,8,523.7830905,strong
7,8,1130.280072,weak
7,8,1388.245639,weak
7,8,1345.696187,weak
7,8,1371.745268,weak
7,8,1122.846282,weak
7,8,1266.432713,weak
7,8,1281.405215,weak
7,8,1226.730105,weak
7,8,1119.425577,weak
7,8,1368.668264,weak
7,8,1550.525374,weak
7,8,1131.02642,weak
7,8,1359.239001,weak
7,8,1131.824935,weak
7,8,1653.674126,weak
7,8,1214.564495,weak
7,8,1159.608165,weak
7,8,1776.453366,weak
7,8,1246.531751,weak
7,8,1126.326777,weak
7,8,1494.313827,weak
7,8,1524.29096,weak
7,8,1298.19197,weak
7,8,1521.854292,weak
7,8,1524.479783,weak
7,8,1731.699623,weak
7,8,1615.341072,weak
7,8,1247.453028,weak
7,8,1765.896705,weak
7,8,1799.76171,weak
7,8,1422.915756,weak
7,8,1315.491671,weak
7,8,1693.544901,weak
7,8,1119.34572,weak
7,8,1738.416063,weak
8,9,826.0998738,weak
8,9,747.1069445,strong
8,9,730.3070042,strong
8,9,1449.75673,weak
8,9,270.8416169,strong
8,9,980.287097,weak
8,9,445.2009559,strong
8,9,734.1112317,strong
8,9,784.1038355,strong
8,9,451.9812511,strong
8,9,87.19184708,strong
8,9,847.3860361,weak
8,9,669.8500982,strong
8,9,504.3071508,strong
8,9,692.7315463,strong
8,9,656.3165315,strong
8,9,160.1832889,strong
8,9,963.212167,weak
8,9,956.9351884,weak
8,9,1191.868901,weak
8,9,944.6050218,weak
8,9,852.859199,weak
8,9,822.9462617,weak
8,9,828.1115457,weak
8,9,832.3240495,weak
8,9,863.6997788,weak
8,9,900.2595107,weak
8,9,1039.914703,weak
8,9,724.1904176,strong
8,9,444.4788725,strong
8,9,770.779651,strong
8,9,1063.791231,weak
8,9,1087.682181,weak
8,9,737.5056911,strong
8,9,1043.410384,weak
8,9,1326.906035,weak
8,9,755.783833,strong
8,9,1037.775597,weak
8,9,1177.980319,weak
8,9,1233.684072,weak
8,9,1046.056063,weak
8,9,1223.315684,weak
8,9,1726.343297,weak
8,9,1277.243892,weak
8,9,1027.976943,weak
8,9,1285.99963,weak
8,9,1015.889272,weak
8,9,1145.831269,weak
